"","sample"
"1","GSM3290085"
"2","GSM3290088"
"3","GSM3290091"
"4","GSM3290092"
"5","GSM3290093"
"6","GSM3290094"
"7","GSM3290097"
"8","GSM3290098"
"9","GSM3290100"
"10","GSM3290101"
"11","GSM3290102"
"12","GSM3290118"
"13","GSM3290122"
"14","GSM3290124"
"15","GSM3290125"
"16","GSM3290131"
"17","GSM3290132"
"18","GSM3290133"
"19","GSM3290134"
"20","GSM3290146"
"21","GSM3290147"
"22","GSM3290067"
"23","GSM3290068"
"24","GSM3290069"
"25","GSM3290070"
"26","GSM3290075"
"27","GSM3290077"
"28","GSM3290082"
"29","GSM3290084"
"30","GSM3290099"
"31","GSM3290103"
"32","GSM3290105"
"33","GSM3290107"
"34","GSM3290108"
"35","GSM3290109"
"36","GSM3290113"
"37","GSM3290116"
"38","GSM3290126"
"39","GSM3290127"
"40","GSM3290129"
"41","GSM3290136"
"42","GSM3290138"
"43","GSM3290140"
"44","GSM3290143"
"45","GSM3290148"
"46","GSM3290128"
"47","GSM3290145"
